文章标题,发表时间,阅读数,医生,医院,科室,文章
胃窦炎多久癌变, 2020-04-30 14:21,3494,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,胃窦炎的癌变时间与其病理类型及病情严重程度相关，具体时间因人而异，不能一概而论。　　胃窦炎是指胃窦黏膜受到致病因素作用而产生的炎症反应，是常见的一种胃部疾病，可分为非萎缩性及萎缩性。胃癌与萎缩性胃窦炎之间关系密切，萎缩性胃炎者癌变率为10%，而非萎缩性胃窦炎一般不会癌变。非萎缩胃窦炎长期反复发作，有可能向萎缩性胃窦炎转变。萎缩性胃炎进一步发展可出现肠化及异型增生，癌变危险性明显升高，但癌变过程相对较漫长，通常需要几年至十几年时间。　　平时保持良好的饮食及卫生习惯，戒烟戒酒，注意作息规律，多加体育锻炼，增强自身免疫力。同时需定期复查胃镜，预防胃窦炎进展。
胃肠炎一直拉水一般几天能好, 2020-04-30 14:21,3519,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,胃肠炎一直拉水，经治疗后一般3-5天左右会好转，具体需根据病情严重程度及个体差异来定。　　胃肠炎一直拉水常见于急性胃肠炎引起的水样便，主要是由于吃了不干净的食物引起，发病较为急促，常会导致拉水样便、腹痛、发烧的症状，严重时可影响正常的工作和生活。部分腹泻严重者容易因水分和电解质过多丢失，而导致电解质紊乱和脱水的情况发生。经正规及时治疗，一般腹泻于3-5天左右会逐渐缓解。但如果病情较重，腹泻持续的时间会有所延长，建议前往医院消化科就诊，及时补充水分以及电解质，避免酸中毒等情况发生。　　平时应注意清淡易消化饮食，以流质软食为主，避免辛辣刺激油腻食物，戒烟酒，多休息。
胃肠炎一般几天能好, 2020-04-30 14:20,3374,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,胃肠炎分为急性胃肠炎和慢性胃肠炎两种。急性肠胃炎经过积极治疗后一般3-5天左右可好转，慢性肠胃炎容易反复发作，经积极治疗后通常在1周左右好转，但随时可能会复发，具体时间因人而异。　　急性胃肠炎多由于饮食不当或食用含有病原菌及毒素的食物，引起胃肠道黏膜急性炎症性改变，常表现为恶心、呕吐、腹痛、腹泻、发热等症状，严重者可出现脱水、电解质紊乱、休克、败血症等危重情况。经积极治疗后，一般在3-5天左右可缓解。慢性胃肠炎则主要是由于胃肠道的慢性炎症所导致，其诱发因素与饮食、药物以及肠道的免疫功能有关，经治疗后大部分1周左右可好转。　　治疗期间应多休息，注意饮食，避免吃辛辣、刺激、油腻的食物，饮食以清淡易消化的食物为主，注意腹部的保暖，可以多做腹部的热敷等。
胃病一般几年转为癌变, 2020-04-30 14:19,4487,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,胃病转为癌症的时间与疾病类型有关，具体时间存在个体差异。　　胃病是指许多与胃相关疾病的统称，临床上常见有急慢性胃炎、胃溃疡、十二指肠溃疡、胃息肉、胃结石、幽门梗阻等。部分疾病存在有癌变风险，但并不是所有疾病都会癌变，且癌变过程较为复杂，因此无法确定具体的癌变时间。在有幽门螺旋杆菌感染、胃癌家族史、癌前病变、吸烟史等这些风险因素的人群中，相对更容易发生癌变，但癌变过程相对较缓慢，一般需要几年甚至几十年。　　平时应注意饮食清淡易消化，不要吃辛辣刺激和油腻的食物，戒烟酒，养成良好的生活习惯，避免胃病的发生，并定期复查胃镜，监测胃病的发生发展情况，积极治疗。
萎缩性胃炎多久做一次胃镜, 2020-04-30 14:18,4117,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,萎缩性胃炎复查胃镜的时间需结合具体情况分析，若伴有肠上皮化生，建议1年左右复查胃镜；若伴有不典型增生，半年到1年复查胃镜；若伴轻度异型增生，2-3个月复查胃镜；重度异型增生或高级别上皮内瘤变，需及时行内镜下微创手术治疗。　　萎缩性胃炎伴肠化有癌变的可能，需要定期复查胃镜监测病情进展程度，如果病情有好转或复查较之前无明显变化，可适当延长时间复查胃镜。若病情加重，疼痛规律改变等，需及时检查胃镜，诊断病情有否变化，及时对症处理。　　慢性萎缩性胃炎容易反复发作、周期性疼痛，建议饮食控制和药物治疗相结合，饮食以清淡易消化为主，避免吃辛辣刺激、油腻的食物，养成良好的生活习惯。
萎缩性胃炎加肠化生几年会癌变, 2020-04-30 14:18,3641,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,萎缩性胃炎伴肠化生，癌变时间与肠化生的类型有关，其癌变过程较为缓慢，至少几年甚至几十年的时间，具体因人而异。　　慢性萎缩性胃炎常表现为胃黏膜的上皮和腺体萎缩，腺体数目减少，胃黏膜变薄。根据腺体萎缩的程度可分为轻度、中度、重度，可分为伴肠化生的萎缩、不伴肠化生的萎缩。肠化生的分型一般分为完全性小肠化生、不完全性小肠化生、完全性大肠化生和不完全性大肠化生四种亚型。肠化生分布范围越广，发生胃癌的危险性越高。通常8％的肠化生患者可演化为异型增生，而异型增生会演化为胃癌，一般需要比较长的时间。　　患病期间应注意控制饮食，避免暴饮暴食，不吃辛辣刺激性的食物，以清淡饮食为主。
萎缩性胃炎一般多久就可以癌变, 2020-04-30 14:17,3863,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,萎缩性胃炎发展到胃癌，中间需经过肠化生、异型增生两个阶段，一般时间较长，至少需要几年甚至几十年的时间。　　萎缩性胃炎是胃黏膜的上皮和腺体萎缩，腺体数目减少，胃黏膜变薄，根据腺体萎缩程度可分为轻度、中度、重度。轻度慢性萎缩性胃炎经积极的药物治疗后，部分有可能获得逆转；中、重度慢性萎缩性胃炎在治疗上相对较困难。慢性萎缩性胃炎出现肠上皮化生者，大约6%可发展为胃癌。肠化生范围越广，癌变危险性越高。萎缩性胃炎发生癌变通常需要比较长的时间，具体多久需结合自身病情来分析判断。　　一旦确诊为萎缩性胃炎，尤其伴有肠化生者，需要高度重视，应积极进行治疗。
用海螵蛸治胃炎要吃多久, 2020-04-30 14:10,3826,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,用海螵蛸治胃炎一般2周左右可以体现出疗效，但具体用药时间因人而异，不可一概而论。　　海螵蛸是中药饮片，具有收敛止血、涩精止带、制酸止痛的作用和功效，常用于治疗吐血、鼻出血、外伤出血、中和胃酸、胃溃疡等病症。海螵蛸可以治疗由于胃酸过多引起的胃部不适感，但需在中医医生的指导下用药，可与其他一些中药搭配应用，疗效更为明显。一般情况下，服药2周左右可见效果。服用海螵蛸期间要监测肝肾功能，如果出现了恶心、呕吐、腹泻、黄疸、乏力、纳差等症状，应当立即停用，严重者需及时前往消化内科就诊。　　服用海螵蛸期间，建议清淡饮食，避免进食辛辣、油腻、刺激性食物，多进食新鲜蔬菜和水果。
全胃切除能活多久, 2020-04-30 13:42,3101,陆巍,上海交通大学医学院附属新华医院,普外科,全胃切除手术后能活多久，主要与患者的病因有关，不可一概而论。　　全胃切除手术适用于急性糜烂性出血性胃炎和胃癌的治疗。如果是急性出血性胃炎的患者进行全胃切除，术后可以达到痊愈，一般不会影响患者的正常寿命。如果是胃癌的患者进行全胃切除手术，术后能活多久主要取决于肿瘤的病理诊断类型和分期。如果是高分化腺癌，只侵及到胃壁黏膜层，没有淋巴结转移和远处器官转移，患者术后5年生存率可达90％以上；如果是低分化腺癌或印戒细胞癌，肿瘤侵及胃壁外层，同时伴有淋巴结转移或者是有远处器官转移，患者术后5年生存率为20％左右。　　此外，全胃切除手术后的患者需定期复查，遵循医嘱，有助于延长生存期。
萎缩性胃炎能活多久, 2020-04-30 10:43,5002,张继舜,首都医科大学附属北京朝阳医院西院,消化内科,萎缩性胃炎能活多久并没有绝对的定论，取决于病情进展的程度及后期是否并发癌变等一系列因素。　　萎缩性胃炎具有一定的癌变倾向，一般情况下，萎缩性胃炎每年癌变的概率在0.5%-1%。所以，萎缩性胃炎的患者一定要定期复查胃镜，根据胃镜及病理检查，根据肠上皮化生是轻度、中度，还是重度的不典型增生，决定复查胃镜的频率。如果是重度不典型增生，可能建议手术治疗；其他情况建议定期复查胃镜和病理，有的患者可能需要半年到一年复查一次，最少也要1-2年复查一次胃镜。如果慢性萎缩性胃炎没有发生癌变，没有发生胃部严重疾病，如消化道出血，大多数是能够长期生存。　　慢性萎缩性胃炎的患者，没有必要过于担心，做好复查，在医生指导之下，规律用药，注意饮食，大多数预后不错，属于一种慢性疾病，可以长期携带，不一定直接影响患者的寿命。
胃窦炎一般多久能治愈, 2020-04-03 09:39,3923,姚炜,北京大学第三医院,消化科,胃窦炎一般多久能治愈，和饮食习惯、治疗措施等有关，存在较大个体化差异。　　胃窦炎主要表现为反复发作的上腹部胀痛，伴有反酸、嗳气、胃部烧灼感等症状。该病主要由于长期饮食不规律，造成胃酸异常分泌，进而刺激胃部黏膜，同时受精神因素影响，如紧张、焦虑、压力过大等而容易诱发。因此患者应及时改善不良生活习惯，同时根据具体情况选择抑酸、促胃动力、保护胃黏膜等药物治疗，通常1-2个月左右可以恢复。而有些患者病情较重，经生活调理和药物治疗无法治愈，可能需要手术治疗，治愈时间会相对延长。　　建议患者养成良好的饮食习惯，保持三餐规律，尽量少食用辛辣刺激性食品，另外还需注意胃部保暖，多做腹部热敷、按摩等，保持心情舒畅，合理安排睡眠时间，均有助于康复。
假如胃能说话, 2020-03-23 15:08,189,乐湘华,中国人民解放军第一八七中心医院,消化内科,我是陪伴你一生的胃，这会你总算消停了，安静了，而你消停安静是建立在我莫大痛苦之上的。也只有在这个时候，我才能诉说我的哀愁、怨恨，希望你这次能感受到我的悲伤、心酸！　　在别人眼中，你是义气重的哥们，每回朋友聚会都拉上你，觥筹交错中，朋友敬你一圈，你已微熏，喝嗨了，踉跄中还要回敬一圈，全然不管前面没有进食任何东西，任由酒精直接刺激撕扯我脆弱的粘膜，难受、恶心、反酸，我提醒你喝得太猛了，伤害到我了，可你还是嚷着“兄弟，走一个”。我抗议，心想把你喝下去的全踢出来，你应该知道老子不舒服了，可你的狐朋狗友还是不放过我，兄弟，喝急了一点，怕什么，慢点来！于是。。。。。。　　第二天你还元气大伤，胃里的酒精没有排空，一直腐蚀、攻击我的粘膜防御机制，让我防不胜防，终于酒精在我的黏膜上撕开了好几道口子，轻者称为糜烂，深者直达我肌肤——溃疡，我不舒服、隐隐作痛，你一直反酸、上腹饱胀感，一个上午都迷糊着，班都没上，看到你这么难受，我想你应该尝到酒精的厉害了！不会再沾惹它了吧！　　可惜，你还难受中，你那些朋友又来电话了“胃不舒服，喝点白的消消毒就好了”，我丢！什么歪歪理，你经不住劝，竟然信了，义无反顾地赶向下一场子，闻到周边那股醇醇的气味，你又迷失自我，今朝有酒今朝醉。　　喝酒后你精神错乱，一会儿误拿了左边大哥的勺子喝汤，一会儿误夹了右边小妹碗里那块咬了一半的红烧肉。在您胡吃海塞、不知饱腹为何物时，一个嚣张的家伙大摇大摆的进入到了我的领地，它就是在此后一年中让我痛不欲生的始作俑者——幽门螺旋杆菌。　　幽门螺杆菌是一种难缠又强大的细菌，它能精确突破我的一系列防御机制，破坏我的上皮细胞，强制性寄居在我的领地内。　　这个家伙杀伤性武器多，除直接破坏我粘膜外，还可以刺激胃酸分泌多，带动胃酸攻击我伤痕累累的肌肤，糜烂、溃疡面一直扩大，又得不到你帮助。　　虽然每天早晨起来你感受老是隐隐作痛，我发出警告，让你带我去检查一下，但你一心只想上班，懒到去检查，觉得胃痛不是大问题，跑到药店买点去痛片吃，当时明智的药店工作人员说，胃痛不能吃止痛片，止痛片只会加重胃粘膜损伤，可你嫌她啰嗦，去痛片才几毛钱，药店推荐的“雷贝拉唑肠溶片”要贵一点，你还以为药店的工作人员推荐用药有猫腻。却不知，去痛片这种非甾体类消炎药，吃到胃内后会加重胃粘膜的损伤，导致糜烂面积扩大、溃疡加深，扎破血管引发出血，鲜血涌出，模糊了我的眼睛，布满全视眼，顺流而下，整个肠道都充满，你头晕、乏力，解黑便，这下尝到酒精、幽门螺旋杆菌的厉害了吧。　　家人看你脸色惨白，碜得慌，急诊送医院，胃镜一查胃溃疡出血，血常规显示血红蛋白只有正常人的一半，医生说幸亏送得还及时，不然你命休也！　　回顾这段时间你与我共处经历，你那些所谓哥们兄弟，真不是东西，什么时候关注过你健康。酒嘛，虽然是粮食作的，但酿成酒已经变质了，都说五谷杂粮养胃，五谷杂粮酿出的它竟然直接攻击我；幽门螺旋杆菌跟我天生有仇，它一辈子只能在胃窦里生长，而你呢，是最大的帮凶，酒精错乱了你，引狼入室带它来攻击我；无知的你喝下去痛片，在我伤口上再撒上最后一把盐，嫌我还不够痛、还不出血，真是作死的节奏。
胃肠也会闹情绪, 2020-03-23 10:31,219,乐湘华,中国人民解放军第一八七中心医院,消化内科,新冠疫情常碰到病人说“胃不舒服，老嗝气”，吃饭往下咽时老感觉堵，肚子还咕咕叫，有时大便不成形，肚子不舒服，心情不好，老是感觉胃肠道里面长东西，可是冒着风险做了胃镜、肠镜又没有发现任何问题。　　其实病人上述症状，是功能性胃肠病引起的，通俗的说，胃肠道发脾气了，后果很严重：它不按“常理”工作了，食物吃进去后，胃肠道很不情愿，食物往前推进、消化、吸收速度很慢，吃得越多，堵塞越严重，它会抱怨“好胀”、“痛”，食物堆积多后，肠道内细菌想帮忙-把食物发酵、产气，结果帮倒忙，气体产生后排不出来，淤积在胃肠道里面，撑得难受，常常觉得打嗝、放屁后症状会缓解一点点。　　胃肠道发脾气的原因很多，一是大环境不好，病人处于紧张担心状态下，心理压力大，胃肠也一片乌云密布；二是“人祸”，疫情期间，主人生活不规律（饿一顿饱一顿）、或者老是大鱼大肉，胃肠负担重，不能有效地休息；三是胡乱用药，一看肚子不舒服，以为是感染了，直接上诺氟沙星等抗生素，结果对肠道菌群损伤更重；此外，疫情期间活动锻炼少也是重要的诱因。　　如果病人有上述症状时，就要考虑到功能性胃肠病的可能性，肠镜检查胃镜检查没有发现异常，就可以确诊为这个病。　　控制胃肠道发脾气的药物分为两类，一是“绿化”肠道表面，补充肠道益生菌改善肠道微生态环境；二是调节肠道蠕动功能，常用药物有匹维溴铵、奥替溴铵、马来酸曲美布汀等；当然首先要调整好心情，疫情期间隔离、无事可做，应该欣喜难得有假期看看喜欢的书、追追剧，如果病人情绪一直不稳，一直纠结肠道不适而无法释怀，可考虑在医生指导用黛力新一类抗焦虑抑郁药物。最后就是给胃肠道减负，不吃油腻油炸食物，不喝牛奶豆浆，要少吃多餐，要戒烟酒。
慢性萎缩性胃炎伴糜烂严重吗, 2020-01-16 13:12,67361,谷阔,哈尔滨市第一医院,消化内科,慢性萎缩性胃炎伴有糜烂是否严重，需根据胃镜下病理活检结果而定，不能一概而论。　　慢性萎缩性胃炎伴有糜烂，胃镜下报告多提示有胃黏膜萎缩、表面血管显露、部分糜烂，此种情况相对不严重，多与暴饮暴食、饮食不规律、经常食用刺激性食物有关，通过服用奥美拉唑、吗丁啉、泮托拉唑等抑制胃酸、保护胃黏膜的药物治疗，可逐渐恢复。如果报告提示有糜烂、萎缩区的胃黏膜有肠化或不典型增生，则提示有癌变的可能，属于癌前病变，在治疗的同时需要定期复查。如果报告提示有重度不典型的增生，则情况较为严重，需立即行胃镜下黏膜剥离术。　　胃病患者在饮食上需多加注意，应吃易消化、无刺激性的食物，少吃过酸、过甜及辛辣刺激食物，忌烟、酒、浓茶及咖啡。
男人老是恶心想吐是癌症早期吗, 2019-12-20 14:05,85607,谷阔,哈尔滨市第一医院,消化内科,男人老是恶心想吐不一定是癌症早期，因为男性出现恶心想吐的原因有很多，比如胃肠型感冒及多种胃肠道疾病都可能会出现恶心想吐的情况。　　男人老是恶心想吐首先还是要考虑胃炎、胆囊炎的情况，并不能代表是癌症早期。除恶心想吐的症状外，胃炎还有上腹部不适、反酸、烧心、嗳气、腹胀等症状；胆囊炎还会有不想吃油腻食物、右肩疼痛等症状。但早期胃癌确实也可能出现恶心想吐的症状。如果患者担忧，可以到医院消化科进行胃镜检查等，区分是否是癌症早期。　　对于经常恶心想吐的男性，在日常生活中应注意补充营养，多吃含蛋白质以及纤维素多的食物，尽量少食多餐，保证身体营养的供给。
胃里火烧火燎的是不是胃癌, 2019-12-20 13:22,62359,谷阔,哈尔滨市第一医院,消化内科,胃里火烧火燎的不一定是胃癌，饮食过饱、饮食后剧烈运动、浅表性胃炎、胃溃疡等都会引起胃部灼烧的感觉。　　胃癌的症状多表现为进食后上腹部疼痛、腹胀、灼烧感等。一旦出现胃部火烧火燎的情况，建议患者及时去医院进行胃镜检查，明确是胃癌还是其他疾病类型，并且遵医嘱进行药物治疗，通常可以有效缓解胃里火烧火燎现象。对于胃酸分泌过多引起的胃部不适，患者可以多吃碱性的食物缓解症状，比如常见的苏打饼干、面包、红茶等，都是不错的选择。对于慢性胃炎所致的胃部灼烧感，建议患者多吃富含高蛋白食物或高维生素食物，如瘦肉、鱼、动物肝、深色蔬菜及水果等，有利于慢性炎症的恢复。　　因此，出现胃里火烧火燎的现象，患者应予以重视，及时到医院就诊，以免贻误病情。
胃镜检查报告解读, 2019-12-02 11:44,42176,王蔚虹,北京大学第一医院,消化内科,胃镜检查报告包括检查者基本信息、检查项目、检查所见、病理诊断和镜检诊断。　　检查所见：指医生在胃镜下所看到的食管、贲门、胃底、胃体、胃角、胃窦、幽门以及十二指肠的变化。　　常见镜下诊断：未见明显异常、反流性食管炎、慢性浅表性胃炎、慢性萎缩性胃炎、胃溃疡、十二指肠球炎、食管癌、胃癌等。　　表示正常的结果：未见明显异常。如果伴有不适症状，应由医生进行进一步检查。　　表示异常的结果　　1、反流性食管炎：镜下可见食管黏膜充血、水肿、不光滑、血管纹理不清、可见条状红斑，甚至有糜烂、溃疡，齿状线也失去正常形状等，需在医生指导下应用胃酸抑制药物，以减轻反流及减少胃分泌物的刺激及腐蚀；　　2、慢性浅表性胃炎　　镜下可见胃黏膜有充血、水肿、条状红斑、糜烂、出血、局部有龟背纹样改变，黏膜脆性增加，需纠正患者不良饮食习惯，给予清淡、易消化食物，必要时在医生指导下应用胃黏膜保护药物或制酸剂。　　3、慢性萎缩性胃炎　　胃黏膜病变累及腺体，出现腺体萎缩，数目减少，胃黏膜呈灰白色或黄暗灰色，黏膜皱襞变平坦、缩小、颗粒状不光滑，需戒烟忌酒，饮食宜规律，避免过热、过咸和辛辣食物，检测和治疗幽门螺杆菌，需遵医嘱定期复查胃镜。　　4、胃溃疡　　胃壁组织缺损形成凹陷，呈圆形或卵圆形，表面覆有白色或黄白色苔，溃疡周围充血、水肿，边缘隆起或有周围黏膜向其集中，确诊后需在医生指导下给予胃黏膜保护药物，如硫糖铝、铋剂等，积极治疗幽门螺杆菌感染。　　5、十二指肠球炎　　十二指肠球部黏膜不光滑，有弥漫性小颗粒状(淋巴滤泡增生)、发红(充血)、水肿、糜烂等改变，提示十二指肠球炎，需要去除致病因素，如避免进食对胃黏膜有强刺激的饮食及药品，戒烟忌酒，根除幽门螺杆菌和抑制胃酸分泌。　　6、食管癌　　镜下可见食管黏膜糜烂、溃疡、狭窄及肿物形成，中、晚期有明显的不规则狭窄和充盈缺损，管壁僵硬，确诊后首选手术治疗，同时配合放化疗。　　7、胃癌　　胃癌分型不同，其镜下表现也不同。如隆起型胃癌镜下可见黏膜呈息肉状隆起，表面凹凸不平，颜色是红色或有糜烂，与周围正常黏膜无明确分界；平坦型胃癌病变略微突起或低于周围的黏膜，病变黏膜可呈局限性或较广泛发红、变色或褪色等，确诊后需要手术治疗，同时配合化疗、靶向治疗以及其他支持治疗。
文章标题,发表时间,阅读数,医生,医院,科室,文章
