世界排名,名字,财富(10亿美元),财富来源,国家/地区
86,达斯汀·莫斯科维茨,207亿美元,Facebook共同创始人、软件公司Asana创始人,美国
87,吴清亮,206亿美元,立邦涂料,新加坡
89,雷伊·达里奥,203亿美元,布里奇沃特投资公司总裁|创始人,美国
90,詹姆斯·西蒙斯,200亿美元,世界级的数学家,美国
91,埃里克·施密特,199亿美元,Google董事长,美国
92,徐航,198亿美元,深圳迈瑞公司,中国
94,劳伦娜·鲍威尔·乔布斯,196亿美元,Achieva公司董事，史蒂夫·乔布斯的妻子,美国
96,安德鲁·弗雷斯特,193亿美元,FMG公司,澳大利亚
97,呂志和,191亿美元,嘉华集团,中国
98,埃玛纽·贝斯尼尔,190亿美元,拉克塔里斯公司,法国
99,小西奥・阿尔布雷希特,188亿美元,超市,德国
100,吴亚军,188亿美元,龙湖集团董事长,中国
101,黄惠忠,185亿美元,针记集团,印度尼西亚
102,阿利舍尔·乌斯马诺夫,185亿美元,创始人,俄罗斯
103,吴光正,183亿美元,九龙仓集团主席,中国
104,安德烈·梅尔尼琴科,179亿美元,俄罗斯煤炭、化肥业大亨,俄罗斯
105,李书福,179亿美元,吉利集团创始人,中国
106,黄惠祥,178亿美元,针记集团,印度尼西亚
107,谢国民,178亿美元,泰国正大国际集团董事长,泰国
108,豪尔赫·保罗·雷曼,177亿美元,百威英博,巴西
109,李文达,174亿美元,李锦记集团,中国
110,爱德华多·萨维林,173亿美元,Facebook,巴西
112,陈邦,172亿美元,爱尔眼科医院集团,中国
113,拉克希米·米塔尔,172亿美元,米塔尔钢铁公司创始人,印度
115,夏琳·德卡瓦略-海内肯及家族,171亿美元,喜力啤酒继承人,荷兰
116,孙飘扬,169亿美元,江苏恒瑞医药股份有限公司,中国
117,詹姆斯·拉特克利夫,169亿美元,投行巴克莱分析师,英国
118,雷诺德·伍尔特,167亿美元,伍尔特集团创始人,德国
120,卢卡斯·沃尔顿,167亿美元,,美国
123,魏建军及家族,160亿美元,长城汽车股份有限公司董事长,中国
124,丁磊,160亿美元,网易,中国
125,肯·格里芬,160亿美元,创始人兼首席执行官|城堡有限责任公司,美国
126,小托马斯·弗里斯特,160亿美元,HCA美国医院公司,美国
127,史蒂夫·科恩史蒂夫·科恩,160亿美元,创始|资产管理,美国
128,罗伯特・佩拉,159亿美元,"Chief Executive Officer, Ubiquiti Networks Inc",美国
129,唐纳德·纽豪斯,159亿美元,美联社董事会主席,美国
130,帕朗吉・密斯特里,157亿美元,塔塔之子公司ceo,爱尔兰
131,米哈伊尔·弗里德曼,154亿美元,,俄罗斯
132,唐纳德·布伦,153亿美元,欧文房产公司董事长,美国
134,卡尔·伊坎,151亿美元,伊坎资本管理公司创始人,美国
135,乌代·科塔克,149亿美元,科塔克-马恒达银行创始人,印度
136,王健林,146亿美元,万达集团,中国
137,格奥尔格·舍弗勒,146亿美元,舍弗勒集团,德国
138,范红卫,146亿美元,恒力集团总经理,中国
139,罗曼·阿布拉莫维奇,146亿美元,英格兰球会切尔西足球俱乐部老板,俄罗斯
140,欣杜贾家族,145亿美元,,印度
141,大卫·泰珀,145亿美元,Appaloosa 投资管理公司的创始人,美国
142,皮埃尔·卡斯特家族,145亿美元,Castel集团,法国
144,徐廷珍,143亿美元,Celltrion生物制药公司,韩国
145,大卫·杜菲尔德,143亿美元,PeopleSoft企业应用软件公司创始人,美国
146,小约翰·默纳德,142亿美元,美国梅納兹家装连锁店ceo,美国
148,王传福,141亿美元,比亚迪汽车,中国
149,许书恩家族,141亿美元,,泰国
150,杰克・多尔西,139亿美元,"Cofounder, Twitter",美国
152,约恩·劳辛,139亿美元,,瑞典
152,芬恩·劳辛,139亿美元,,瑞典
152,柯尔斯顿·劳辛,139亿美元,利乐拉伐集团女继承人之一,瑞典
155,龚虹嘉,138亿美元,,中国
156,苏旭明,138亿美元,泰国酿酒业巨子,泰国
157,布莱恩·切斯基,137亿美元,Airbnb公司首席执行官,美国
158,金正宇,136亿美元,NEXON,韩国
159,刘銮雄,136亿美元,华人置业集团,中国
161,里卡多·萨利纳斯·普里戈及家族,136亿美元,,墨西哥
163,麦克·坎农-布鲁克斯,136亿美元,Atlassian,澳大利亚
164,安德斯·霍尔希·波维森,135亿美元,绫致集团,丹麦
165,斯科特·法夸尔,134亿美元,Atlassian,澳大利亚
167,黄志祥与黄志达兄弟,133亿美元,新加坡远东机构总裁,新加坡
169,王文银,132亿美元,正威国际,中国
170,库玛尔·博拉,131亿美元,埃迪亚贝拉集团董事长,印度
171,戈登·摩尔,130亿美元,美国科学家，企业家，英特尔公司创始人之一,美国
173,迈克尔·普拉特,130亿美元,蓝木资本创始人,英国
174,周群飞,128亿美元,蓝思科技有限公司创建人,中国
176,梁稳根,126亿美元,三一重工,中国
177,赛鲁斯·普纳瓦拉,126亿美元,印度血清研究所创始人,印度
178,郭鹤年,126亿美元,企业家、慈善家、社会活动家,马来西亚
179,汉克·梅杰和道格·梅杰,126亿美元,,美国
180,李彦宏,125亿美元,百度公司,中国
182,马建荣及家族,125亿美元,,中国
183,那森·布莱卡斯亚克,124亿美元,,美国
184,乔·吉比亚,124亿美元,Airbnb公司创始人,美国
185,鲍比·墨菲,124亿美元,Snapchat社交媒体,美国
186,约翰·杜尔,123亿美元,“风投业四大天王”之一,美国
187,汪立平及家族,121亿美元,恒立有限及公司董事长,中国
188,马塞尔·赫尔曼·特莱斯,120亿美元,百威英博,巴西
189,萨维特里·金达尔及家族,120亿美元,,印度
190,安德里亚斯·斯特朗格曼,119亿美元,医药,德国
190,托马斯·斯特朗格曼,119亿美元,医药,德国
192,维克多·拉什尼科夫,119亿美元,马格尼托克哥尔斯克钢铁公司(ММК)董事长,俄罗斯
193,迈尔可·斯科尔林,118亿美元,,瑞典
194,亚历山大·奥托,118亿美元,奥托邮购,德国
196,帕特里克·德拉希,117亿美元,法国Altice公司,法国
197,豪尔赫·莫尔·菲尔霍,116亿美元,医院,巴西
199,埃文·斯皮格尔,115亿美元,照片分享应用,美国
200,蔡崇信,115亿美元,阿里巴巴,加拿大
201,阿里科·丹格特,113亿美元,尼日利亚丹格特集团董事长,尼日利亚
202,米哈伊尔·普罗霍罗夫,113亿美元,Onexim集团总裁,俄罗斯
203,埃亚勒·奥弗,112亿美元,,以色列
204,哈里·特里古波夫,112亿美元,房地产,澳大利亚
205,迪利普·桑哈维迪,109亿美元,,印度
206,斯德法诺·佩斯纳,109亿美元,,意大利
207,金范秀,109亿美元,"Chairman, Kakao",韩国
209,路易斯·卡洛斯·萨米恩托,109亿美元,阿瓦尔集团创始人,哥伦比亚
210,查尔斯·施瓦布,109亿美元,伯利恒钢铁公司创始人,美国
211,安东尼·普拉特,108亿美元,普拉特实业,澳大利亚
213,蔡奎,107亿美元,房地产,中国
216,查尔斯·巴特家族,107亿美元,,美国
217,吉安路易吉·阿庞特和拉斐拉·阿庞特,107亿美元,瑞士航运巨鳄,瑞士
218,迪特马尔·霍普及家族,106亿美元,德甲霍芬海姆足球俱乐部大股东,德国
219,苏尼尔·米塔尔家族,106亿美元,巴帝电信公司董事长兼总经理,印度
221,刘永好,106亿美元,新希望集团,中国
222,查尔斯·厄尔根,106亿美元,回声星通信公司总裁兼首席执行官,美国
223,约翰·弗雷德里克森,105亿美元,Frontline公司,塞浦路斯
224,姚良松,105亿美元,广州欧派橱柜企业有限公司董事长,中国
226,许荣茂,104亿美元,世茂集团创始人,中国
227,切斯・科尔曼三世,103亿美元,"Founder, Tiger Global Management",美国
228,张邦鑫,103亿美元,,中国
229,爱德华·约翰逊三世,103亿美元,富达董事长,美国
231,苏莱曼·克里莫夫,103亿美元,,俄罗斯
232,扬·库姆,102亿美元,WhatsApp创始人,美国
233,列昂尼德·费顿,102亿美元,,俄罗斯
234,丁世忠家族,101亿美元,安踏体育集团,中国
235,菲利浦·安舒茨,101亿美元,,美国
238,吉姆·帕蒂森,100亿美元,吉姆帕蒂森集团,加拿大
239,格尔曼·汗,100亿美元,阿尔法集团董事长,俄罗斯
240,丁世家,100亿美元,安踏体育集团,中国
241,伊恩·利文斯通和理查德·利文斯通,99亿美元,,英国
242,大卫·格芬,99亿美元,梦工厂动画创始人之一,美国
243,卡尔·库克,99亿美元,,美国
244,孙宏斌,98亿美元,融创中国董事会主席,美国
245,小赫伯特·科勒,98亿美元,科勒公司董事长兼首席执行官。,美国
246,詹姆斯·戴森,98亿美元,戴森公司创始人,英国
247,弗莱德汉姆・洛,97亿美元,,德国
248,郭令灿,96亿美元,马来西亚华人企业家,马来西亚
249,伊斯坎德尔·马克穆多夫,96亿美元,乌拉尔矿业冶金公司,俄罗斯
250,伊斯雷尔·英格兰德,96亿美元,千年管理公司LLC,美国
251,约翰・克里森,95亿美元,"Cofounder, Stripe",爱尔兰
251,帕特里克・克里森,95亿美元,"Cofounder, Stripe",爱尔兰
253,阿尔贝托·巴伊雷斯·冈萨雷斯,94亿美元,佩诺尔斯工业公司ceo,墨西哥
254,海因里希·戴希曼,94亿美元,戴希曼鞋业创始人,德国
256,大卫·切瑞顿,94亿美元,Google,加拿大
257,泽维尔·尼尔,94亿美元,伊利亚德公司,法国
258,杨建文,94亿美元,伯恩光学,中国香港特别行政区
259,贝努·戈帕尔·班古尔,94亿美元,,印度
260,吉姆·肯尼迪,94亿美元,考克斯集团董事长,美国
260,布莱尔·帕里-奥基登,94亿美元,考克斯企业,澳大利亚
262,林斌,94亿美元,小米公司,中国
263,其实家族,93亿美元,,中国
264,维克托·维克塞尔伯格,93亿美元,雷诺瓦集团公司,俄罗斯
266,卡洛斯·阿尔贝托·斯库彼拉,92亿美元,百威啤酒,巴西
267,史蒂文·雷尔斯,92亿美元,丹纳赫集团,美国
268,杜纪川,91亿美元,金士顿科技公司总裁,美国
270,孙大卫,91亿美元,金士顿科技公司COO,美国
271,马希米丽亚娜·兰迪尼·阿利欧帝,91亿美元,意大利女首富,意大利
272,刘汉元,91亿美元,通威集团,中国
273,沃尔夫冈·马格雷,90亿美元,,德国
274,林惠英,90亿美元,伯恩光学,中国香港特别行政区
275,尼尔森·彼得·路易斯-汉森,90亿美元,医疗器械,丹麦
276,永守重信,90亿美元,日本电产公司(Nidec),日本
277,格雷姆·哈特,90亿美元,兰科集团,新西兰
278,安·沃尔顿·克伦克,89亿美元,,美国
279,迈克尔·奥托,89亿美元,奥托网上邮购公司,德国
280,安德里亚斯·冯·贝托尔斯海姆及家族,89亿美元,Sun合伙创始人、首席设计师,德国
281,杰里·琼斯,88亿美元,达拉斯牛仔总裁兼总经理,美国
282,李在镕,88亿美元,三星电子副董事长,韩国
283,程雪,88亿美元,海天味业,中国
284,奥古斯特·冯·芬克,88亿美元,知名银行家,德国
285,潘日旺,87亿美元,Vingroup集团,越南
286,马克·贝尼奥夫,87亿美元,Salesforce董事长兼首席执行官,美国
287,宗庆后,87亿美元,娃哈哈集团董事长,中国
289,伯纳德·马库斯,87亿美元,家居建材,美国
290,克伊尔德·科尔克·克里斯蒂安森,87亿美元,乐高,丹麦
290,阿妮塔·柯克·钦科,87亿美元,乐高,丹麦
290,索菲·柯克·克里斯蒂安森,87亿美元,乐高公司,丹麦
290,汤玛斯·柯克·克里斯蒂安森,87亿美元,乐高公司,丹麦
294,库尔迪普・辛格和古尔巴坎・辛格・丁格拉,87亿美元,,印度
296,阿齐姆·普莱姆基,86亿美元,威普罗公司董事长,印度
297,乔治·索罗斯,86亿美元,金融投资家、慈善家、社会活动家,美国
298,谢炳,86亿美元,正大集团,中国
299,陈潭庆芬,86亿美元,,中国
300,埃内斯托·贝尔塔雷利,86亿美元,生物制药富商,瑞士
301,哈索·普拉特纳,85亿美元,SAP公司的创始人之一,德国
302,萨拉• 拉达纳瓦迪,85亿美元,能源行业,泰国
303,陈建华,85亿美元,恒力集团,中国
304,纪海鹏,84亿美元,,中国
305,纳塞夫·萨维里斯,84亿美元,萨维里斯家族,埃及
306,莱昂·布莱克,83亿美元,,美国
307,布巴·凯西,83亿美元,,美国
307,丹·凯西,83亿美元,,美国
309,赵燕,82亿美元,华熙国际投资集团,中国
310,斯坦利·克伦克,82亿美元,体育产业大亨,美国
311,许世辉及家族,82亿美元,福建达利食品有限公司创始人,中国
312,洛雷塔·罗宾逊,81亿美元,罗杰斯通讯集团,加拿大
313,阿兰·梅里埃及家族,81亿美元,生物梅里埃公司,法国
314,王来胜,81亿美元,深圳立讯精密工业,中国
315,吕向阳,80亿美元,广州融捷投资集团,中国
316,王来春,80亿美元,深圳立讯精密工业,中国
317,尼基·奥本海默及其家族,80亿美元,,南非
318,舍希德·汗,80亿美元,,美国
319,南希·沃尔顿·劳丽,80亿美元,,美国
320,安东尼·班福德,80亿美元,建筑设备,英国
321,黛安·亨德里克斯,80亿美元,"Cofounder and Chairman, ABC Supply",美国
322,乔治·罗伯茨,79亿美元,KKR公司,美国
324,约翰·马龙,79亿美元,,美国
328,安德鲁·比尔,79亿美元,,美国
331,王振华,78亿美元,新城控股集团,中国
332,胡安·弗朗西斯科·贝克曼·比达尔及家族,78亿美元,酒业,墨西哥
333,王玉锁,78亿美元,新奥集团,中国
335,马里克·伊莉莎白·马尔斯,78亿美元,玛氏公司,美国
335,潘蜜拉·马尔斯-莱特,78亿美元,玛氏公司,美国
335,薇乐莉·马尔斯,78亿美元,玛氏公司,美国
335,维多利亚·B·马尔斯,78亿美元,玛氏公司,美国
339,西尔维奥·贝卢斯科尼及家族,78亿美元,,意大利
342,乔治·阿玛尼,77亿美元,奢侈品,意大利
343,阿列克谢·库兹米切夫,77亿美元,,俄罗斯
345,古斯塔夫・道格拉斯,77亿美元,,瑞典
346,弗雷德里克·保尔森,76亿美元,,瑞典
347,大卫·格林,76亿美元,Hobby Lobby首席执行官,美国
348,约翰·鲁伯特及家族,76亿美元,,南非
349,哈罗德哈姆,76亿美元,大陆资源董事长兼首席执行官,美国
351,雷纳托・阿克梅托夫,76亿美元,,Ukraine
352,约翰·格雷肯,76亿美元,私募股权投资,爱尔兰
353,亚历山大・阿布拉莫夫,76亿美元,,俄罗斯
